TRACTCE,make_sqm,make_dec,serv_sqm,serv_dec,prof_sqm,prof_dec,supp_sqm,supp_dec,make_c,serv_c,prof_c,supp_c,make_15,serv_15,prof_15,supp_15,make_02,serv_02,prof_02,supp_02
200302,0.000068427232964,6,0.000007149113892,0,0.000005106509923,0,0.000099066292501,3,0.36476572686184,-1.825855405156512,0.037815788023332,1.577116249225703,1.775115364385988,0.150491204212749,0.119374130841114,1.945583584950887,1.410349637524148,1.976346609369261,0.081558342817782,0.368467335725184
201003,0.000003382422454,7,0.00001463415429,8,2.89921925e-7,1,0.000002595491516,3,0.519692721844202,0.399263968856518,-0.18338248839212,-0.747039808295156,0.754578900533565,2.649145032829813,0.058283591491249,0.438351806907727,0.234886178689363,2.249881063973295,0.241666079883369,1.185391615202883
152201,0.000026567324972,3,0.000352017055885,6,0.000059776481188,4,0.00008468334835,1,-0.762580378543519,1.667843121481948,-1.320559034824245,0.167104848548912,0.236850266103338,2.546543225209104,0.480225074926538,0.571545025642912,0.999430644646857,0.878700103727156,1.800784109750783,0.404440177094
151308,0.00011658538821,8,0.000163622720628,6,0.000129688645098,8,0.000340348698145,8,-0.791721701654603,-0.849626546000972,0.543810795096761,1.120165815620513,0.724611462618264,0.825212852375606,0.726359243423369,1.601443235228479,1.516333164272867,1.674839398376578,0.182548448326608,0.481277419607966
153200,0.000175837425094,9,0.000194060146133,9,0.000013252888029,6,0.000063187876851,8,0.859048180621006,0.960215816434813,-0.781910345098871,-0.938913720824029,1.837010224355636,1.64512123859899,0.124766854037117,0.499758742246242,0.97796204373463,0.684905422164177,0.906677199135988,1.438672463070271
150702,0.00000475405539,6,0.000003626805143,2,5.39119683e-7,1,0.000010390306626,3,-0.492554806162773,-0.398029534836746,-0.39936743340598,1.257458292646608,1.147994904947253,0.710658971597838,0.117313866654008,1.899461372172471,1.640549711110026,1.108688506434584,0.516681300059988,0.642003079525863
151201,0.000079916034493,9,0.000140951773991,9,0.000037444160464,9,0.000055480643392,9,-0.675259661322333,0.351351665687884,0.107324926026054,0.359158308839475,1.187560268057838,1.699626824061592,0.501411475290944,0.624150899975442,1.862819929380171,1.348275158373708,0.39408654926489,0.264992591135967
150303,0.000004033981789,7,0.000005969642406,6,0.00000148021106,5,7.64504613e-7,0,0.471500270729191,0.524898006607013,-0.18523751579557,-0.653445603112325,1.535752223438972,1.844152506641975,0.507807723652398,0.220340184481507,1.064251952709781,1.319254500034962,0.693045239447968,0.873785787593832
153902,0.000370696301556,9,0.000600882140581,9,0.000133656293627,8,0.000346706710393,8,-1.815547042491492,1.20786154020309,0.17396626730988,0.588823572425664,1.190511510396239,1.565906903585411,0.386805995638114,0.842954186359767,3.006058552887731,0.358045363382321,0.212839728328234,0.254130613934103
154100,0.000005488980005,9,0.000001240836924,7,1.84402154e-7,5,3.8431477e-7,3,2.729416790897607,-0.235483232491751,-0.658754232930476,-1.390290010843804,3.506876486493892,0.643287077005886,0.106165460779214,0.185884113833305,0.777459695596285,0.878770309497637,0.76491969370969,1.576174124677109
153403,0.000050464929729,8,0.000060183234062,7,0.00002365177681,7,0.000065452194242,7,-0.584081812158061,-0.443253829932067,0.309173996600934,0.845655171433563,1.178047200231522,1.140013088084247,0.497536822938251,1.156707650510678,1.762129012389583,1.583266918016314,0.188362826337317,0.311052479077115
151000,0.00005910314337,8,0.000057890443884,8,0.000006318802585,5,0.000010467511353,2,1.703634730550481,1.542461157310469,0.077145259067421,-3.152088007692041,2.060080335152748,1.637350866336523,0.198470883184692,0.276212543263666,0.356445604602267,0.094889709026054,0.121325624117271,3.428300550955707
152502,0.000018518427309,3,0.000007080575148,0,0.000016339788802,2,0.000184094953839,5,-0.545190665390598,-1.288435720664423,-0.417495916605715,1.973371209148394,0.382028064754028,0.118528012130385,0.303756824501726,2.87514287173167,0.927218730144626,1.406963732794808,0.721252741107441,0.901771662583276
153003,0.000105926569118,7,0.000316043206222,7,0.000162073439088,7,0.000131395252404,3,0.262902319179311,-0.112386503129786,0.309384118872077,-0.459673185438463,0.690394093321546,1.671475122518294,0.951902454344675,0.648333128031544,0.427491774142235,1.78386162564808,0.642518335472598,1.108006313470007
150603,0.00001962785977,5,0.000198010467681,7,0.000021937019743,4,0.000159043393137,7,-0.17971683537014,1.489847310138382,-0.5897927281973,-1.021767850598232,0.229604122915165,1.879559949501438,0.231245238831389,1.408473717194303,0.409320958285305,0.389712639363056,0.821037967028689,2.430241567792535
